t_s,alt_m,downrange_km,V_mps,gamma_deg,q_Pa,Qdot_Wm2,sigma_deg,Mach,lat_deg,lon_deg
127.5,11506.096582385711,511.0942499188106,2067.4512794971724,-3.2963318226335776,15159.584629176405,125601.41499250897,68.26153920847952,9.241872369427114,-12.674721431831385,-176.3788585240823
127.60000000000001,11494.25210859254,511.2874401169239,2063.1968376864775,-3.279019194628205,15113.375867204812,124855.6467762929,68.26153920847952,9.222853931908464,-12.671496767016672,-176.37755374022237
127.7,11482.494080876932,511.4801643172739,2058.9553265953236,-3.261757680759779,15067.251730812048,124114.6162422526,68.26153920847952,9.203893300764221,-12.668279980984495,-176.376248225534
127.80000000000001,11470.821987677366,511.6724238427935,2054.726722489402,-3.24454739499903,15021.213290665715,123378.29821818677,68.26153920847952,9.184990369862508,-12.665071051101075,-176.37494199088357
127.9,11459.23531943839,511.86422001516223,2050.511001335621,-3.2273884495127065,14975.261597042962,122646.6675303062,68.26153920847952,9.166145031736107,-12.661869954755895,-176.37363504707284
128.0,11447.733568611555,512.0555541547606,2046.3081388078274,-3.2102809546761217,14929.397680027641,121919.6990064938,68.26153920847952,9.147357177608047,-12.658676669362425,-176.37232740483893
128.1,11436.316229658201,512.2464275806215,2042.11811029247,-3.1932250190857046,14883.622549704463,121197.36747948483,68.26153920847952,9.128626697416909,-12.655491172358833,-176.37101907485456
128.20000000000002,11424.982799049933,512.4368416103716,2037.9408908942112,-3.1762207495715615,14837.937196355988,120479.64778999191,68.26153920847952,9.109953479841918,-12.652313441208683,-176.3697100677281
128.3,11413.732775271405,512.6267975602367,2033.77645544148,-3.159268251210028,14792.342590655951,119766.51478974902,68.26153920847952,9.091337412327753,-12.649143453401622,-176.36840039400371
128.4,11402.565658819396,512.8162967449445,2029.6247784919738,-3.142367627336232,14746.83968386716,119057.94334450984,68.26153920847952,9.072778381109153,-12.645981186454064,-176.3670900641615
128.5,11391.480952206068,513.0053404777324,2025.4858343381009,-3.125518979556647,14701.429408033227,118353.90833695624,68.26153920847952,9.054276271235231,-12.642826617909849,-176.36577908861764
128.6,11380.478159957565,513.1939300702817,2021.359597012372,-3.108722407761644,14656.112676175955,117654.38466956794,68.26153920847952,9.035830966593588,-12.639679725340914,-176.36446747772445
128.70000000000002,11369.556788616348,513.3820668326791,2017.246040292734,-3.0919780101380376,14610.890382487176,116959.34726740676,68.26153920847952,9.017442349934141,-12.636540486347922,-176.36315524177067
128.8,11358.716346741188,513.5697520733916,2013.1451377078513,-3.075285883181623,14565.763402523085,116268.77108085091,68.26153920847952,8.999110302892737,-12.633408878560918,-176.3618423909814
128.9,11347.95634490624,513.7569870992327,2009.056862542331,-3.058646121709708,14520.732593399074,115582.63108827085,68.26153920847952,8.980834706014505,-12.630284879639941,-176.36052893551852
